rank,time,records,disciplineName,fullName,participantCountryCode,year,time_seconds
10,0 days 00:08:27.690000,,Women 800 Freestyle,QUADARELLA Simona,ITA,2020,507.69
11,0 days 00:08:27.960000,,Women 800 Freestyle,LEE Kareena,AUS,2020,507.96
12,0 days 00:08:28.220000,,Women 800 Freestyle,CARAMIGNOLI Martina Rita,ITA,2020,508.22
13,0 days 00:08:28.340000,,Women 800 Freestyle,TUNCEL Merve,TUR,2020,508.34
14,0 days 00:08:28.700000,,Women 800 Freestyle,KIRPICHNIKOVA Anastasiia,RUS,2020,508.7
15,0 days 00:08:29.360000,,Women 800 Freestyle,MCHUGH Ally,USA,2020,509.36
16,0 days 00:08:29.750000,,Women 800 Freestyle,SULLIVAN Erica,USA,2020,509.75
17,0 days 00:08:29.810000,,Women 800 Freestyle,SULLIVAN Erica,USA,2020,509.81
18,0 days 00:08:29.870000,,Women 800 Freestyle,HOU Yawen,CHN,2020,509.87
19,0 days 00:08:29.920000,,Women 800 Freestyle,ZHANG Ke,CHN,2020,509.92
20,0 days 00:08:29.960000,,Women 800 Freestyle,FLICKINGER Hali,USA,2020,509.96
20,0 days 00:08:29.960000,,Women 800 Freestyle,WELLBROCK Sarah,GER,2020,509.96
22,0 days 00:08:30.360000,,Women 800 Freestyle,CARAMIGNOLI Martina Rita,ITA,2020,510.36
23,0 days 00:08:30.730000,,Women 800 Freestyle,EGOROVA Anna,RUS,2020,510.73
24,0 days 00:08:30.830000,,Women 800 Freestyle,KOBORI Waka,JPN,2020,510.83
25,0 days 00:08:30.840000,,Women 800 Freestyle,MA Yong,CHN,2020,510.84
26,0 days 00:08:30.870000,,Women 800 Freestyle,PALLISTER Lani,AUS,2020,510.87
27,0 days 00:08:31.010000,,Women 800 Freestyle,MELVERTON Kiah,AUS,2020,511.01
28,0 days 00:08:31.380000,,Women 800 Freestyle,SULLIVAN Erica,USA,2020,511.38
29,0 days 00:08:31.400000,,Women 800 Freestyle,EGOROVA Anna,RUS,2020,511.4
30,0 days 00:08:31.480000,,Women 800 Freestyle,GOUGH Maddy,AUS,2020,511.48
31,0 days 00:08:31.850000,,Women 800 Freestyle,MEITZ Kaersten,USA,2020,511.85
32,0 days 00:08:31.950000,,Women 800 Freestyle,WELLBROCK Sarah,GER,2020,511.95
33,0 days 00:08:32.040000,,Women 800 Freestyle,HINES Phoebe,AUS,2020,512.04
34,0 days 00:08:32.210000,,Women 800 Freestyle,MEITZ Kaersten,USA,2020,512.21
35,0 days 00:08:32.310000,,Women 800 Freestyle,HINES Phoebe,AUS,2020,512.31
36,0 days 00:08:32.510000,[0],Women 800 Freestyle,KAHLER Marlene,AUT,2020,512.51
37,0 days 00:08:32.610000,,Women 800 Freestyle,BELMONTE GARCIA Mireia,ESP,2020,512.61
38,0 days 00:08:32.680000,,Women 800 Freestyle,MOCHIZUKI Kinuko,JPN,2020,512.68
39,0 days 00:08:33.120000,,Women 800 Freestyle,CARAMIGNOLI Martina Rita,ITA,2020,513.12
40,0 days 00:08:33.520000,,Women 800 Freestyle,ROMEI Giorgia,ITA,2020,513.52
41,0 days 00:08:33.580000,,Women 800 Freestyle,TWICHELL Ashley,USA,2020,513.58
42,0 days 00:08:33.710000,,Women 800 Freestyle,TUNCEL Merve,TUR,2020,513.71
43,0 days 00:08:33.760000,,Women 800 Freestyle,MA Yong,CHN,2020,513.76
44,0 days 00:08:33.810000,,Women 800 Freestyle,ROMEI Giorgia,ITA,2020,513.81
45,0 days 00:08:33.820000,,Women 800 Freestyle,DURAES Diana,POR,2020,513.82
46,0 days 00:08:33.920000,,Women 800 Freestyle,LEE Kareena,AUS,2020,513.92
47,0 days 00:08:34.280000,,Women 800 Freestyle,KOBRICH Kristel,CHI,2020,514.28
48,0 days 00:08:34.390000,,Women 800 Freestyle,SALIN Giulia,ITA,2020,514.39
49,0 days 00:08:34.780000,,Women 800 Freestyle,PEREZ BLANCO Jimena,ESP,2020,514.78
50,0 days 00:08:34.930000,,Women 800 Freestyle,WEYANT Emma,USA,2020,514.93
1,0 days 00:03:43.730000,,Men 400 Freestyle,DETTI Gabriele,ITA,2020,223.73
2,0 days 00:03:43.900000,,Men 400 Freestyle,WINNINGTON Elijah,AUS,2020,223.9
3,0 days 00:03:44.070000,,Men 400 Freestyle,SUN Yang,CHN,2020,224.07
4,0 days 00:03:44.240000,,Men 400 Freestyle,MCLOUGHLIN Jack Alan,AUS,2020,224.24
5,0 days 00:03:44.940000,,Men 400 Freestyle,DE TULLIO Marco,ITA,2020,224.94
6,0 days 00:03:44.980000,,Men 400 Freestyle,SUN Yang,CHN,2020,224.98
7,0 days 00:03:45.600000,,Men 400 Freestyle,AUBOECK Felix,AUT,2020,225.6
8,0 days 00:03:46.620000,,Men 400 Freestyle,RAPSYS Danas,LTU,2020,226.62
9,0 days 00:03:46.880000,,Men 400 Freestyle,ACERENZA Domenico,ITA,2020,226.88
10,0 days 00:03:47.040000,,Men 400 Freestyle,JI Xinjie,CHN,2020,227.04
11,0 days 00:03:47.140000,,Men 400 Freestyle,PALTRINIERI Gregorio,ITA,2020,227.14
12,0 days 00:03:47.500000,,Men 400 Freestyle,EGOROV Aleksandr,RUS,2020,227.5
