year,disciplineName,time_seconds
2011,Men 200 Freestyle,106.3842
2011,Men 200 Medley,118.4272
2011,Men 400 Freestyle,226.614
2011,Men 400 Medley,253.638
2011,Men 50 Freestyle,21.974
2011,Women 100 Backstroke,59.563599999999994
2011,Women 100 Breaststroke,66.77720000000001
2011,Women 100 Butterfly,57.591
2011,Women 100 Freestyle,53.928599999999996
2011,Women 200 Backstroke,128.1106
2011,Women 200 Breaststroke,144.5216
2011,Women 200 Butterfly,126.9292
2011,Women 200 Freestyle,116.7316
2011,Women 200 Medley,130.9562
2011,Women 400 Freestyle,245.90259999999998
2011,Women 400 Medley,277.1298
2011,Women 50 Freestyle,24.6816
2011,Women 800 Freestyle,506.01279999999997
2012,Men 100 Backstroke,53.1966
2012,Men 100 Breaststroke,59.6954
2012,Men 100 Butterfly,51.75
2012,Men 100 Freestyle,48.14
2012,Men 1500 Freestyle,895.9714
2012,Men 200 Backstroke,116.0556
2012,Men 200 Breaststroke,129.0122
2012,Men 200 Butterfly,114.9974
2012,Men 200 Freestyle,106.0732
2012,Men 200 Medley,117.6288
2012,Men 400 Freestyle,226.3562
2012,Men 400 Medley,252.18580000000003
2012,Men 50 Freestyle,21.7646
2012,Women 100 Backstroke,59.279399999999995
2012,Women 100 Breaststroke,66.64519999999999
2012,Women 100 Butterfly,57.3788
2012,Women 100 Freestyle,53.605
2012,Women 200 Backstroke,127.8018
2012,Women 200 Breaststroke,143.3846
2012,Women 200 Butterfly,126.8644
2012,Women 200 Freestyle,116.30940000000001
2012,Women 200 Medley,130.613
2012,Women 400 Freestyle,244.7168
2012,Women 400 Medley,275.2638
2012,Women 50 Freestyle,24.477800000000002
2012,Women 800 Freestyle,504.76419999999996
2013,Men 100 Backstroke,53.4564
2013,Men 100 Breaststroke,59.849399999999996
2013,Men 100 Butterfly,51.742799999999995
2013,Men 100 Freestyle,48.117
2013,Men 1500 Freestyle,899.4638
2013,Men 200 Backstroke,116.3258
2013,Men 200 Breaststroke,129.6198
2013,Men 200 Butterfly,115.9332
2013,Men 200 Freestyle,106.2526
2013,Men 200 Medley,117.79180000000001
2013,Men 400 Freestyle,226.9226
2013,Men 400 Medley,253.1126
2013,Men 50 Freestyle,21.702600000000004
2013,Women 100 Backstroke,59.4718
2013,Women 100 Breaststroke,66.3236
2013,Women 100 Butterfly,57.6804
2013,Women 100 Freestyle,53.581
2013,Women 200 Backstroke,128.2196
2013,Women 200 Breaststroke,143.5172
2013,Women 200 Butterfly,127.34700000000001
2013,Women 200 Freestyle,116.5042
2013,Women 200 Medley,130.6846
2013,Women 400 Freestyle,245.3604
2013,Women 400 Medley,276.29
2013,Women 50 Freestyle,24.573
2013,Women 800 Freestyle,503.654
2014,Men 100 Backstroke,53.2208
2014,Men 100 Breaststroke,59.758599999999994
2014,Men 100 Butterfly,51.763000000000005
2014,Men 100 Freestyle,48.181599999999996
2014,Men 1500 Freestyle,897.5484
2014,Men 200 Backstroke,116.137
2014,Men 200 Breaststroke,129.13379999999998
2014,Men 200 Butterfly,115.6258
2014,Men 200 Freestyle,106.3336
2014,Men 200 Medley,117.6876
2014,Men 400 Freestyle,226.0706
2014,Men 400 Medley,252.2282
2014,Men 50 Freestyle,21.7394
2014,Women 100 Backstroke,59.7012
2014,Women 100 Breaststroke,66.79260000000001
2014,Women 100 Butterfly,57.5112
2014,Women 100 Freestyle,53.381400000000006
2014,Women 200 Backstroke,128.83780000000002
2014,Women 200 Breaststroke,143.2136
2014,Women 200 Butterfly,127.5396
2014,Women 200 Freestyle,116.28399999999999
2014,Women 200 Medley,130.6042
2014,Women 400 Freestyle,244.9352
2014,Women 400 Medley,275.55
2014,Women 50 Freestyle,24.3882
2014,Women 800 Freestyle,503.0358
2015,Men 100 Backstroke,52.92359999999999
2015,Men 100 Breaststroke,59.3534
2015,Men 100 Butterfly,51.368199999999995
2015,Men 100 Freestyle,48.263400000000004
2015,Men 1500 Freestyle,897.2936
2015,Men 200 Backstroke,115.648
2015,Men 200 Breaststroke,129.0658
2015,Men 200 Butterfly,114.9604
2015,Men 200 Freestyle,106.229
2015,Men 200 Medley,117.7228
2015,Men 400 Freestyle,226.1966
2015,Men 400 Medley,252.734
2015,Men 50 Freestyle,21.722199999999997
2015,Women 100 Backstroke,59.0762
2015,Women 100 Breaststroke,66.4102
2015,Women 100 Butterfly,57.4422
2015,Women 100 Freestyle,53.2542
2015,Women 200 Backstroke,127.7782
2015,Women 200 Breaststroke,142.7438
2015,Women 200 Butterfly,127.0448
2015,Women 200 Freestyle,115.98719999999999
2015,Women 200 Medley,129.8186
2015,Women 400 Freestyle,244.562
2015,Women 400 Medley,275.4066
2015,Women 50 Freestyle,24.4206
2015,Women 800 Freestyle,502.3042
2016,Men 100 Backstroke,52.8018
2016,Men 100 Breaststroke,59.0974
2016,Men 100 Butterfly,51.428999999999995
2016,Men 100 Freestyle,47.9926
2016,Men 1500 Freestyle,891.0752
2016,Men 200 Backstroke,115.3548
2016,Men 200 Breaststroke,128.2784
2016,Men 200 Butterfly,114.88040000000001
2016,Men 200 Freestyle,105.73
2016,Men 200 Medley,117.3862
2016,Men 400 Freestyle,224.9348
2016,Men 400 Medley,251.4256
2016,Men 50 Freestyle,21.6312
2016,Women 100 Backstroke,59.0512
2016,Women 100 Breaststroke,66.2408
2016,Women 100 Butterfly,56.8112
2016,Women 100 Freestyle,53.1034
2016,Women 200 Backstroke,127.7674
2016,Women 200 Breaststroke,142.6104
2016,Women 200 Butterfly,126.7696
2016,Women 200 Freestyle,115.4808
2016,Women 200 Medley,129.4058
2016,Women 400 Freestyle,243.4214
2016,Women 400 Medley,274.0842
2016,Women 50 Freestyle,24.3074
2016,Women 800 Freestyle,501.2974
2017,Men 100 Backstroke,53.085
2017,Men 100 Breaststroke,59.058
2017,Men 100 Butterfly,51.157799999999995
2017,Men 100 Freestyle,48.1044
2017,Men 1500 Freestyle,896.22
2017,Men 200 Backstroke,115.77879999999999
2017,Men 200 Breaststroke,128.247
2017,Men 200 Butterfly,114.86540000000001
2017,Men 200 Freestyle,106.02420000000001
2017,Men 200 Medley,117.0974
2017,Men 400 Freestyle,225.53259999999997
2017,Men 400 Medley,251.4832
2017,Men 50 Freestyle,21.6374
2017,Women 100 Backstroke,59.0538
2017,Women 100 Breaststroke,66.0522
2017,Women 100 Butterfly,56.9608
2017,Women 100 Freestyle,52.9554
2017,Women 200 Backstroke,127.49940000000001
2017,Women 200 Breaststroke,142.94719999999998
2017,Women 200 Butterfly,127.1388
2017,Women 200 Freestyle,115.9676
2017,Women 200 Medley,129.9968
2017,Women 400 Freestyle,244.519
2017,Women 400 Medley,275.9364
2017,Women 50 Freestyle,24.2354
2017,Women 800 Freestyle,503.7138
2018,Men 100 Backstroke,52.9812
2018,Men 100 Breaststroke,59.1194
2018,Men 100 Butterfly,51.4354
2018,Men 100 Freestyle,48.1604
2018,Men 1500 Freestyle,893.7952
2018,Men 200 Backstroke,115.8256
2018,Men 200 Breaststroke,128.2928
2018,Men 200 Butterfly,115.04860000000001
2018,Men 200 Freestyle,106.0898
2018,Men 200 Medley,117.3512
2018,Men 400 Freestyle,226.4792
2018,Men 400 Medley,252.449
2018,Men 50 Freestyle,21.610599999999998
2018,Women 100 Backstroke,59.0138
2018,Women 100 Breaststroke,66.2784
2018,Women 100 Butterfly,56.9196
2018,Women 100 Freestyle,52.952200000000005
2018,Women 200 Backstroke,127.49700000000001
2018,Women 200 Breaststroke,143.2056
2018,Women 200 Butterfly,127.5434
2018,Women 200 Freestyle,115.9606
2018,Women 200 Medley,130.174
2018,Women 400 Freestyle,244.05759999999998
2018,Women 400 Medley,276.7386
2018,Women 50 Freestyle,24.153000000000002
2018,Women 800 Freestyle,502.19199999999995
2019,Men 100 Backstroke,52.9896
2019,Men 100 Breaststroke,58.739
2019,Men 100 Butterfly,51.2328
2019,Men 100 Freestyle,47.786
2019,Men 1500 Freestyle,891.9348
2019,Men 200 Backstroke,116.131
2019,Men 200 Breaststroke,127.8774
2019,Men 200 Butterfly,114.93860000000001
2019,Men 200 Freestyle,105.6834
2019,Men 200 Medley,117.3814
2019,Men 400 Freestyle,225.4698
2019,Men 400 Medley,252.87419999999997
2019,Men 50 Freestyle,21.56
2019,Women 100 Backstroke,58.9692
2019,Women 100 Breaststroke,66.35640000000001
2019,Women 100 Butterfly,57.078
2019,Women 100 Freestyle,52.8478
2019,Women 200 Backstroke,127.3518
2019,Women 200 Breaststroke,142.8654
2019,Women 200 Butterfly,127.2708
2019,Women 200 Freestyle,115.9264
2019,Women 200 Medley,129.0442
2019,Women 400 Freestyle,243.7722
2019,Women 400 Medley,275.8016
2019,Women 50 Freestyle,24.209400000000002
2019,Women 800 Freestyle,501.2084
2020,Men 100 Backstroke,53.6982
2020,Men 100 Breaststroke,59.4334
2020,Men 100 Butterfly,51.743599999999994
2020,Men 100 Freestyle,48.656800000000004
2020,Men 1500 Freestyle,905.9702000000001
2020,Men 200 Backstroke,117.7702
2020,Men 200 Breaststroke,129.23
2020,Men 200 Butterfly,116.4918
2020,Men 200 Freestyle,106.8532
2020,Men 200 Medley,118.7578
2020,Men 400 Freestyle,228.3448
2020,Men 400 Medley,255.7514
2020,Men 50 Freestyle,21.9636
2020,Women 100 Backstroke,59.6388
2020,Women 100 Breaststroke,67.1416
2020,Women 100 Butterfly,57.9324
2020,Women 100 Freestyle,53.70399999999999
2020,Women 200 Backstroke,129.5408
2020,Women 200 Breaststroke,145.0546
2020,Women 200 Butterfly,128.7876
2020,Women 200 Freestyle,117.463
2020,Women 200 Medley,131.37959999999998
2020,Women 400 Freestyle,248.4748
2020,Women 400 Medley,281.4286
2020,Women 50 Freestyle,24.6582
2020,Women 800 Freestyle,510.1578
2021,Men 100 Backstroke,52.614399999999996
2021,Men 100 Breaststroke,58.400600000000004
2021,Men 100 Butterfly,50.7954
2021,Men 100 Freestyle,47.633199999999995
2021,Men 1500 Freestyle,892.8672
2021,Men 200 Backstroke,115.646
2021,Men 200 Breaststroke,127.7438
2021,Men 200 Butterfly,114.4764
2021,Men 200 Freestyle,105.23200000000001
2021,Men 200 Medley,116.8898
2021,Men 400 Freestyle,224.9266
2021,Men 400 Medley,250.88080000000002
2021,Men 50 Freestyle,21.6098
2021,Women 100 Backstroke,58.306000000000004
2021,Women 100 Breaststroke,65.679
2021,Women 100 Butterfly,56.418
2021,Women 100 Freestyle,52.74980000000001
2021,Women 200 Backstroke,127.0694
2021,Women 200 Breaststroke,141.8544
2021,Women 200 Butterfly,126.9666
2021,Women 200 Freestyle,115.376
2021,Women 200 Medley,129.5832
2021,Women 400 Freestyle,243.1318
2021,Women 400 Medley,276.4418
2021,Women 50 Freestyle,24.1794
2021,Women 800 Freestyle,499.5362
2022,Men 100 Backstroke,52.751999999999995
2022,Men 100 Breaststroke,58.9812
2022,Men 100 Butterfly,51.033199999999994
2022,Men 100 Freestyle,47.6642
2022,Men 1500 Freestyle,892.8232
2022,Men 200 Backstroke,116.385
2022,Men 200 Breaststroke,128.716
2022,Men 200 Butterfly,114.50219999999999
2022,Men 200 Freestyle,105.4286
2022,Men 200 Medley,117.26
2022,Men 400 Freestyle,225.35
2022,Men 400 Medley,251.09380000000002
2022,Men 50 Freestyle,21.6586
2022,Women 100 Backstroke,58.7266
2022,Women 100 Breaststroke,66.0428
2022,Women 100 Butterfly,57.0172
2022,Women 100 Freestyle,53.207
2022,Women 200 Backstroke,127.63799999999999
2022,Women 200 Breaststroke,143.5734
2022,Women 200 Butterfly,127.4532
2022,Women 200 Freestyle,115.8392
2022,Women 200 Medley,130.32
2022,Women 400 Freestyle,242.7538
2022,Women 400 Medley,277.2194
2022,Women 50 Freestyle,24.3386
2022,Women 800 Freestyle,501.445
